week,warehouse,product,stock
W3,Склад1||Склад1_о,Б2,181.50943396226415
W4,Склад1||Склад1_о,Б2,31.017289619054452
W5,Склад1||Склад1_о,Б2,49.9709257283744
W6,Склад1||Склад1_о,Б2,21.790414408715964
W7,Склад1||Склад1_о,Б2,6.469306244972075
W8,Склад1||Склад1_о,Б2,12.91987739732562
W9,Склад1||Склад1_о,Б2,6.190908246538056
W10,Склад1||Склад1_о,Б2,0.07866465370442256
W11,Склад1||Склад1_о,Б2,0.0010269537037130884
W12,Склад1||Склад1_о,Б2,6.591487186861927e-06
W14,Склад1||Склад1_о,Б2,4.484489051208622
W15,Склад1||Склад1_о,Б2,11.538600296561116
W16,Склад1||Склад1_о,Б2,8.208813678377409
W17,Склад1||Склад1_о,Б2,6.584973391101439
W18,Склад1||Склад1_о,Б2,14.46067978712881
W19,Склад1||Склад1_о,Б2,7.226884209600387
W20,Склад1||Склад1_о,Б2,4.310772169857547
W21,Склад1||Склад1_о,Б2,4.999473343083377
W22,Склад1||Склад1_о,Б2,15.338979862851597
W23,Склад1||Склад1_о,Б2,4.627827171962879
W24,Склад1||Склад1_о,Б2,0.019250529001509482
W25,Склад1||Склад1_о,Б2,0.00012046638924599174
W28,Склад1||Склад1_о,Б2,4.76368159207072
W29,Склад1||Склад1_о,Б2,11.790210160327911
W30,Склад1||Склад1_о,Б2,14.286411479892818
W31,Склад1||Склад1_о,Б2,18.246788458580447
W32,Склад1||Склад1_о,Б2,10.312424256098597
W33,Склад1||Склад1_о,Б2,30.51756073150576
W34,Склад1||Склад1_о,Б2,68.95821769369279
W35,Склад1||Склад1_о,Б2,68.95821769369279
W36,Склад1||Склад1_о,Б2,68.95821769369279
W37,Склад1||Склад1_о,Б2,68.95821769369279
W38,Склад1||Склад1_о,Б2,68.95821769369279
W39,Склад1||Склад1_о,Б2,68.95821769369279
W40,Склад1||Склад1_о,Б2,68.95821769369279
W41,Склад1||Склад1_о,Б2,68.95821769369279
W42,Склад1||Склад1_о,Б2,68.95821769369279
W43,Склад1||Склад1_о,Б2,68.95821769369279
W44,Склад1||Склад1_о,Б2,68.95821769369279
W45,Склад1||Склад1_о,Б2,68.95821769369279
W46,Склад1||Склад1_о,Б2,68.95821769369279
W47,Склад1||Склад1_о,Б2,68.95821769369279
W48,Склад1||Склад1_о,Б2,68.95821769369279
W49,Склад1||Склад1_о,Б2,68.95821769369279
W50,Склад1||Склад1_о,Б2,68.95821769369279
W51,Склад1||Склад1_о,Б2,68.95821769369279
W52,Склад1||Склад1_о,Б2,68.95821769369279
W53,Склад1||Склад1_о,Б2,68.95821769369279
W31,Склад1||Склад1_о,Б6,94.04040404040404
W32,Склад1||Склад1_о,Б6,24.81227368019821
W33,Склад1||Склад1_о,Б6,0.4101202261189787
W34,Склад1||Склад1_о,Б6,0.014491880781589353
W35,Склад1||Склад1_о,Б6,0.014491880781589353
W36,Склад1||Склад1_о,Б6,0.014491880781589353
W37,Склад1||Склад1_о,Б6,0.014491880781589353
W38,Склад1||Склад1_о,Б6,0.014491880781589353
W39,Склад1||Склад1_о,Б6,0.014491880781589353
W40,Склад1||Склад1_о,Б6,0.014491880781589353
W41,Склад1||Склад1_о,Б6,0.014491880781589353
W42,Склад1||Склад1_о,Б6,0.014491880781589353
W43,Склад1||Склад1_о,Б6,0.014491880781589353
W44,Склад1||Склад1_о,Б6,0.014491880781589353
W45,Склад1||Склад1_о,Б6,0.014491880781589353
W46,Склад1||Склад1_о,Б6,0.014491880781589353
W47,Склад1||Склад1_о,Б6,0.014491880781589353
W48,Склад1||Склад1_о,Б6,0.014491880781589353
W49,Склад1||Склад1_о,Б6,0.014491880781589353
W50,Склад1||Склад1_о,Б6,0.014491880781589353
W51,Склад1||Склад1_о,Б6,0.014491880781589353
W52,Склад1||Склад1_о,Б6,0.014491880781589353
W53,Склад1||Склад1_о,Б6,0.014491880781589353
W2,Склад3||Склад3_о,Б5,53.60249775056796
W3,Склад3||Склад3_о,Б5,0.27990860444160814
W4,Склад3||Склад3_о,Б5,0.001655284473338901
W5,Склад3||Склад3_о,Б5,7.656264909060597e-06
W11,Склад3||Склад3_о,Б5,1.7394476246145971
W12,Склад3||Склад3_о,Б5,1.8109750593821619
W13,Склад3||Склад3_о,Б5,0.5277871037130557
W14,Склад3||Склад3_о,Б5,0.0014746775739398036
W15,Склад3||Склад3_о,Б5,5.934316192916715e-06
W17,Склад3||Склад3_о,Б5,0.7592726528019703
W18,Склад3||Склад3_о,Б5,0.0018473787172797332
W19,Склад3||Склад3_о,Б5,5.511273022910898e-06
W22,Склад3||Склад3_о,Б5,0.11259800150278694
W23,Склад3||Склад3_о,Б5,0.0002679628783978747
W42,Склад3||Склад3_о,Б5,4.627808934010935
W43,Склад3||Склад3_о,Б5,0.01190586296375337
W44,Склад3||Склад3_о,Б5,4.2055326611633236e-05
W46,Склад3||Склад3_о,Б5,2.68418587870149
W47,Склад3||Склад3_о,Б5,0.009697203319008273
W48,Склад3||Склад3_о,Б5,1.4744067969655346
W49,Склад3||Склад3_о,Б5,1.7045878784611432
W50,Склад3||Склад3_о,Б5,4.024061937520975
W51,Склад3||Склад3_о,Б5,1.5601041815493286
W52,Склад3||Склад3_о,Б5,7.1615178052319175
W53,Склад3||Склад3_о,Б5,0.6120955389087109
W42,Склад4||Склад4_о,Б2,18.314285714285713
W43,Склад4||Склад4_о,Б2,0.1496265172735761
W44,Склад4||Склад4_о,Б2,0.001889223702949193
W45,Склад4||Склад4_о,Б2,1.9199427875499927e-05
W12,Склад6||Склад6_о,Б6,2491.0
W13,Склад6||Склад6_о,Б6,3225.0
W14,Склад6||Склад6_о,Б6,3225.0
W15,Склад6||Склад6_о,Б6,3225.0
W16,Склад6||Склад6_о,Б6,3225.0
W17,Склад6||Склад6_о,Б6,3225.0
W18,Склад6||Склад6_о,Б6,3225.0
W19,Склад6||Склад6_о,Б6,3225.0
W20,Склад6||Склад6_о,Б6,3225.0
W21,Склад6||Склад6_о,Б6,3225.0
W22,Склад6||Склад6_о,Б6,3225.0
W23,Склад6||Склад6_о,Б6,3225.0
W24,Склад6||Склад6_о,Б6,3225.0
W25,Склад6||Склад6_о,Б6,3225.0
W26,Склад6||Склад6_о,Б6,3225.0
W27,Склад6||Склад6_о,Б6,3225.0
W28,Склад6||Склад6_о,Б6,3225.0
W29,Склад6||Склад6_о,Б6,3225.0
W30,Склад6||Склад6_о,Б6,3225.0
W31,Склад6||Склад6_о,Б6,3225.0
W32,Склад6||Склад6_о,Б6,3225.0
W33,Склад6||Склад6_о,Б6,3225.0
W34,Склад6||Склад6_о,Б6,3225.0
W35,Склад6||Склад6_о,Б6,3225.0
W36,Склад6||Склад6_о,Б6,3225.0
W37,Склад6||Склад6_о,Б6,5104.0
W38,Склад6||Склад6_о,Б6,5489.0
W39,Склад6||Склад6_о,Б6,5489.0
W40,Склад6||Склад6_о,Б6,5489.0
W41,Склад6||Склад6_о,Б6,5489.0
W42,Склад6||Склад6_о,Б6,5489.0
W43,Склад6||Склад6_о,Б6,5489.0
W44,Склад6||Склад6_о,Б6,5489.0
W45,Склад6||Склад6_о,Б6,5489.0
W46,Склад6||Склад6_о,Б6,5489.0
W47,Склад6||Склад6_о,Б6,5489.0
W48,Склад6||Склад6_о,Б6,5489.0
W49,Склад6||Склад6_о,Б6,78.86494252873564
W50,Склад6||Склад6_о,Б6,1.5772988505747128
W51,Склад6||Склад6_о,Б6,0.020919082898868867
W52,Склад6||Склад6_о,Б6,0.00038243295975994273
W53,Склад6||Склад6_о,Б6,0.00038243295975994273
W1,Склад7||Склад7_о,Б5,824.1176470588235
W2,Склад7||Склад7_о,Б5,188.56567284448025
W3,Склад7||Склад7_о,Б5,16.45778031579438
W4,Склад7||Склад7_о,Б5,14.923319719386798
W5,Склад7||Склад7_о,Б5,13.685106246520396
W6,Склад7||Склад7_о,Б5,13.52795782029709
W7,Склад7||Склад7_о,Б5,15.65881653403215
W8,Склад7||Склад7_о,Б5,18.20212613761854
W9,Склад7||Склад7_о,Б5,14.919481626316278
W10,Склад7||Склад7_о,Б5,19.107294459207967
W11,Склад7||Склад7_о,Б5,21.253464253341523
W12,Склад7||Склад7_о,Б5,14.866917601926264
W13,Склад7||Склад7_о,Б5,19.41814607141714
W14,Склад7||Склад7_о,Б5,15.60749098565511
W15,Склад7||Склад7_о,Б5,22.390072049139786
W16,Склад7||Склад7_о,Б5,17.72267069114833
W17,Склад7||Склад7_о,Б5,19.836471034793902
W18,Склад7||Склад7_о,Б5,14.938954204987837
W19,Склад7||Склад7_о,Б5,13.972078720279885
W20,Склад7||Склад7_о,Б5,17.506455427281235
W21,Склад7||Склад7_о,Б5,17.42624586788052
W22,Склад7||Склад7_о,Б5,20.29051189789425
W23,Склад7||Склад7_о,Б5,18.690949741480903
W24,Склад7||Склад7_о,Б5,16.497043614838983
W25,Склад7||Склад7_о,Б5,15.20132281782734
W26,Склад7||Склад7_о,Б5,17.961830097092037
W27,Склад7||Склад7_о,Б5,13.412831323063216
W28,Склад7||Склад7_о,Б5,16.257402073919454
W29,Склад7||Склад7_о,Б5,16.33593828915497
W30,Склад7||Склад7_о,Б5,17.85042459036948
W31,Склад7||Склад7_о,Б5,15.539086440350546
W32,Склад7||Склад7_о,Б5,15.470892883368887
W33,Склад7||Склад7_о,Б5,13.24014080666446
W34,Склад7||Склад7_о,Б5,13.50007077011048
W35,Склад7||Склад7_о,Б5,17.518402780217357
W36,Склад7||Склад7_о,Б5,13.990231926725016
W37,Склад7||Склад7_о,Б5,14.986483285628085
W38,Склад7||Склад7_о,Б5,15.031324422301683
