
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад4||Склад4_о;W18;9481
Склад4||Склад4_о;W19;11400
Склад4||Склад4_о;W20;10456
Склад4||Склад4_о;W21;8547
Склад4||Склад4_о;W22;11306
Склад4||Склад4_о;W23;11095
Склад4||Склад4_о;W24;10843
Склад4||Склад4_о;W25;11400
Склад4||Склад4_о;W26;9929
Склад4||Склад4_о;W27;11400
Склад4||Склад4_о;W28;11400
Склад4||Склад4_о;W29;11060
Склад4||Склад4_о;W30;11400
Склад4||Склад4_о;W31;10724
Склад4||Склад4_о;W32;11338
Склад4||Склад4_о;W33;10726
Склад4||Склад4_о;W34;11059
Склад4||Склад4_о;W35;10732
Склад4||Склад4_о;W36;10664
Склад4||Склад4_о;W37;10103
Склад4||Склад4_о;W38;10271
Склад4||Склад4_о;W39;10285
Склад4||Склад4_о;W40;10496
Склад4||Склад4_о;W41;11400
Склад4||Склад4_о;W42;10350
Склад4||Склад4_о;W43;11400
Склад4||Склад4_о;W44;10608
Склад4||Склад4_о;W45;10416
Склад4||Склад4_о;W46;10366
Склад4||Склад4_о;W47;10166
Склад4||Склад4_о;W48;9831
Склад4||Склад4_о;W49;10445
Склад4||Склад4_о;W50;10875
Склад4||Склад4_о;W51;10481
Склад4||Склад4_о;W52;11156
Склад4||Склад4_о;W53;11400
Склад5||Склад5_о;W1;9000
Склад5||Склад5_о;W2;8733
Склад5||Склад5_о;W3;6839
Склад5||Склад5_о;W4;6084
Склад5||Склад5_о;W5;5451
Склад5||Склад5_о;W6;5291
Склад5||Склад5_о;W7;6242
Склад5||Склад5_о;W8;4920
Склад5||Склад5_о;W9;6909
Склад5||Склад5_о;W10;6545
Склад5||Склад5_о;W11;6371
Склад5||Склад5_о;W12;7352
Склад5||Склад5_о;W13;7012
Склад5||Склад5_о;W14;7807
Склад5||Склад5_о;W15;6329
Склад5||Склад5_о;W16;5754
Склад5||Склад5_о;W17;5364
Склад5||Склад5_о;W18;6599
Склад5||Склад5_о;W19;7246
Склад5||Склад5_о;W20;4892
Склад5||Склад5_о;W21;5995
