
"Склады отгрузки";Weeks;Cubes
;;спрос2
Склад4||Склад4_о;W27;2229
Склад4||Склад4_о;W28;1647
Склад4||Склад4_о;W29;1935
Склад4||Склад4_о;W30;1437
Склад4||Склад4_о;W31;221
Склад4||Склад4_о;W32;355
Склад4||Склад4_о;W33;25
Склад4||Склад4_о;W34;0
Склад4||Склад4_о;W35;0
Склад4||Склад4_о;W36;0
Склад4||Склад4_о;W37;0
Склад4||Склад4_о;W38;0
Склад4||Склад4_о;W39;33
Склад4||Склад4_о;W40;0
Склад4||Склад4_о;W41;1135
Склад4||Склад4_о;W42;0
Склад4||Склад4_о;W43;1224
Склад4||Склад4_о;W44;0
Склад4||Склад4_о;W45;0
Склад4||Склад4_о;W46;0
Склад4||Склад4_о;W47;0
Склад4||Склад4_о;W48;0
Склад4||Склад4_о;W49;0
Склад4||Склад4_о;W50;0
Склад4||Склад4_о;W51;0
Склад4||Склад4_о;W52;0
Склад4||Склад4_о;W53;0
Склад5||Склад5_о;W1;0
Склад5||Склад5_о;W2;0
Склад5||Склад5_о;W3;0
Склад5||Склад5_о;W4;0
Склад5||Склад5_о;W5;0
Склад5||Склад5_о;W6;0
Склад5||Склад5_о;W7;0
Склад5||Склад5_о;W8;0
Склад5||Склад5_о;W9;0
Склад5||Склад5_о;W10;0
Склад5||Склад5_о;W11;0
Склад5||Склад5_о;W12;0
Склад5||Склад5_о;W13;0
Склад5||Склад5_о;W14;859
Склад5||Склад5_о;W15;0
Склад5||Склад5_о;W16;0
Склад5||Склад5_о;W17;0
Склад5||Склад5_о;W18;0
Склад5||Склад5_о;W19;1043
Склад5||Склад5_о;W20;0
Склад5||Склад5_о;W21;-0
Склад5||Склад5_о;W22;-0
Склад5||Склад5_о;W23;0
Склад5||Склад5_о;W24;0
Склад5||Склад5_о;W25;1477
Склад5||Склад5_о;W26;0
Склад5||Склад5_о;W27;1905
Склад5||Склад5_о;W28;3517
Склад5||Склад5_о;W29;0
Склад5||Склад5_о;W30;558
Склад5||Склад5_о;W31;0
Склад5||Склад5_о;W32;0
Склад5||Склад5_о;W33;0
Склад5||Склад5_о;W34;0
Склад5||Склад5_о;W35;0
Склад5||Склад5_о;W36;0
Склад5||Склад5_о;W37;0
Склад5||Склад5_о;W38;0
Склад5||Склад5_о;W39;1472
Склад5||Склад5_о;W40;0
Склад5||Склад5_о;W41;195
Склад5||Склад5_о;W42;0
Склад5||Склад5_о;W43;999
Склад5||Склад5_о;W44;0
Склад5||Склад5_о;W45;0
Склад5||Склад5_о;W46;0
Склад5||Склад5_о;W47;0
Склад5||Склад5_о;W48;0
Склад5||Склад5_о;W49;0
Склад5||Склад5_о;W50;0
Склад5||Склад5_о;W51;0
Склад5||Склад5_о;W52;0
Склад5||Склад5_о;W53;0
Склад6||Склад6_о;W1;0
Склад6||Склад6_о;W2;0
Склад6||Склад6_о;W3;0
Склад6||Склад6_о;W4;0
Склад6||Склад6_о;W5;0
Склад6||Склад6_о;W6;0
Склад6||Склад6_о;W7;0
Склад6||Склад6_о;W8;0
Склад6||Склад6_о;W9;0
Склад6||Склад6_о;W10;0
Склад6||Склад6_о;W11;0
Склад6||Склад6_о;W12;0
Склад6||Склад6_о;W13;0
Склад6||Склад6_о;W14;0
Склад6||Склад6_о;W15;0
Склад6||Склад6_о;W16;0
Склад6||Склад6_о;W17;0
Склад6||Склад6_о;W18;0
Склад6||Склад6_о;W19;0
Склад6||Склад6_о;W20;0
Склад6||Склад6_о;W21;0
Склад6||Склад6_о;W22;0
Склад6||Склад6_о;W23;0
Склад6||Склад6_о;W24;0
Склад6||Склад6_о;W25;0
Склад6||Склад6_о;W26;0
Склад6||Склад6_о;W27;0
Склад6||Склад6_о;W28;0
Склад6||Склад6_о;W29;0
Склад6||Склад6_о;W30;0
Склад6||Склад6_о;W31;0
Склад6||Склад6_о;W32;0
Склад6||Склад6_о;W33;0
Склад6||Склад6_о;W34;0
Склад6||Склад6_о;W35;0
Склад6||Склад6_о;W36;0
Склад6||Склад6_о;W37;0
Склад6||Склад6_о;W38;0
Склад6||Склад6_о;W39;0
Склад6||Склад6_о;W40;0
Склад6||Склад6_о;W41;0
Склад6||Склад6_о;W42;0
Склад6||Склад6_о;W43;0
Склад6||Склад6_о;W44;0
