
"Склады заводов";Продукция;Weeks;Cubes
;;;unplaced
Склад5||Склад5_п;Б3;W45;0
Склад5||Склад5_п;Б3;W46;0
Склад5||Склад5_п;Б3;W47;0
Склад5||Склад5_п;Б3;W48;0
Склад5||Склад5_п;Б3;W49;0
Склад5||Склад5_п;Б3;W50;0
Склад5||Склад5_п;Б3;W51;0
Склад5||Склад5_п;Б3;W52;0
Склад5||Склад5_п;Б3;W53;0
Склад5||Склад5_п;Б4;W1;0
Склад5||Склад5_п;Б4;W2;0
Склад5||Склад5_п;Б4;W3;0
Склад5||Склад5_п;Б4;W4;0
Склад5||Склад5_п;Б4;W5;0
Склад5||Склад5_п;Б4;W6;0
Склад5||Склад5_п;Б4;W7;0
Склад5||Склад5_п;Б4;W8;0
Склад5||Склад5_п;Б4;W9;0
Склад5||Склад5_п;Б4;W10;0
Склад5||Склад5_п;Б4;W11;0
Склад5||Склад5_п;Б4;W12;0
Склад5||Склад5_п;Б4;W13;0
Склад5||Склад5_п;Б4;W14;0
Склад5||Склад5_п;Б4;W15;0
Склад5||Склад5_п;Б4;W16;0
Склад5||Склад5_п;Б4;W17;0
Склад5||Склад5_п;Б4;W18;0
Склад5||Склад5_п;Б4;W19;0
Склад5||Склад5_п;Б4;W20;0
Склад5||Склад5_п;Б4;W21;0
Склад5||Склад5_п;Б4;W22;0
Склад5||Склад5_п;Б4;W23;0
Склад5||Склад5_п;Б4;W24;0
Склад5||Склад5_п;Б4;W25;0
Склад5||Склад5_п;Б4;W26;0
Склад5||Склад5_п;Б4;W27;0
Склад5||Склад5_п;Б4;W28;0
Склад5||Склад5_п;Б4;W29;0
Склад5||Склад5_п;Б4;W30;0
Склад5||Склад5_п;Б4;W31;0
Склад5||Склад5_п;Б4;W32;0
Склад5||Склад5_п;Б4;W33;0
Склад5||Склад5_п;Б4;W34;0
Склад5||Склад5_п;Б4;W35;0
Склад5||Склад5_п;Б4;W36;0
Склад5||Склад5_п;Б4;W37;0
Склад5||Склад5_п;Б4;W38;0
Склад5||Склад5_п;Б4;W39;0
Склад5||Склад5_п;Б4;W40;0
Склад5||Склад5_п;Б4;W41;0
Склад5||Склад5_п;Б4;W42;0
Склад5||Склад5_п;Б4;W43;0
Склад5||Склад5_п;Б4;W44;0
Склад5||Склад5_п;Б4;W45;0
Склад5||Склад5_п;Б4;W46;0
Склад5||Склад5_п;Б4;W47;0
Склад5||Склад5_п;Б4;W48;0
Склад5||Склад5_п;Б4;W49;0
Склад5||Склад5_п;Б4;W50;766
Склад5||Склад5_п;Б4;W51;0
Склад5||Склад5_п;Б4;W52;0
Склад5||Склад5_п;Б4;W53;734
Склад5||Склад5_п;Б5;W1;1227
Склад5||Склад5_п;Б5;W2;1380
Склад5||Склад5_п;Б5;W3;0
Склад5||Склад5_п;Б5;W4;0
Склад5||Склад5_п;Б5;W5;0
Склад5||Склад5_п;Б5;W6;0
Склад5||Склад5_п;Б5;W7;0
Склад5||Склад5_п;Б5;W8;0
Склад5||Склад5_п;Б5;W9;0
Склад5||Склад5_п;Б5;W10;0
Склад5||Склад5_п;Б5;W11;0
Склад5||Склад5_п;Б5;W12;0
Склад5||Склад5_п;Б5;W13;0
Склад5||Склад5_п;Б5;W14;0
Склад5||Склад5_п;Б5;W15;0
Склад5||Склад5_п;Б5;W16;0
Склад5||Склад5_п;Б5;W17;0
Склад5||Склад5_п;Б5;W18;0
Склад5||Склад5_п;Б5;W19;0
Склад5||Склад5_п;Б5;W20;0
Склад5||Склад5_п;Б5;W21;0
Склад5||Склад5_п;Б5;W22;0
Склад5||Склад5_п;Б5;W23;0
Склад5||Склад5_п;Б5;W24;0
Склад5||Склад5_п;Б5;W25;0
Склад5||Склад5_п;Б5;W26;0
Склад5||Склад5_п;Б5;W27;0
Склад5||Склад5_п;Б5;W28;0
Склад5||Склад5_п;Б5;W29;0
Склад5||Склад5_п;Б5;W30;0
Склад5||Склад5_п;Б5;W31;0
Склад5||Склад5_п;Б5;W32;0
Склад5||Склад5_п;Б5;W33;0
Склад5||Склад5_п;Б5;W34;0
Склад5||Склад5_п;Б5;W35;0
Склад5||Склад5_п;Б5;W36;0
Склад5||Склад5_п;Б5;W37;0
Склад5||Склад5_п;Б5;W38;0
Склад5||Склад5_п;Б5;W39;0
